Описание контактов ЭБУ KEFICO (Hyundai Accent)
http://www.chiptuner.ru/content/pin_accent

№ 	Соединение
1 	Не используется
2 	Зажигание 2-3. Управление первичной обмоткой катушки зажигания, акт. уровень низкий.
3 	Масса ЭБУ
4 	Не используется
5 	Зажигание 1-4. Управление первичной обмоткой катушки зажигания, акт. уровень низкий.
6 	Форсунка 2. Активный уровень низкий 
7 	Форсунка 3. Активный уровень низкий 
8 	Не используется
9 	Не используется
10 	Не используется
11 	Не используется
12 	Не используется
13 	Питание. Клемма 15 замка зажигания
14 	Главное реле
15 	Вход - контакт "А" ДПКВ 
16 	ДПДЗ
17 	Масса датчиков ДПДЗ, ускорения
18 	Вход сигнала датчика кислорода №1
19 	Вход сигнала датчика детонации
20 	Масса датчика детонации
21 	Не используется
22 	Не используется
23 	Не используется
24 	Не используется
25 	Не используется
26 	РХХ - сигнал на закрытие заслонки
27 	Форсунка 1. Активный уровень низкий 
28 	Выход управления нагревателя датчика кислорода №2
29 	РХХ - сигнал на открытие заслонки
30 	Не используется
31 	Не используется
32 	Питание ДПДЗ, датчика ускорения.
33 	Питание ДАД
34 	Вход ДПКВ, контакт "В"
35 	Масса ДТОЖ, датчика кислорода №2
36 	Масса ДАД, датчика кислорода №2
37 	Вход сигнала с ДАД
38 	Не используется
39 	Вход сигнала с ДТОЖ
40 	Вход сигнала с датчика температуры впускного воздуха
41 	Не используется
42 	Вход сигнала ДТВ
43 	Не используется
44 	Вход напряжения бортовой сети на выходе главного реле
45 	Не используется
46 	Выход управления клапаном продувки адсорбера
47 	Форсунка 4. Активный уровень низкий 
48 	Выход управления нагревателем датчика кислорода №1
49 	Не используется
50 	Не используется
51 	Масса контроллера (ЭБУ)
52 	Не используется
53 	Масса контроллера (ЭБУ)
54 	Не используется
55 	Вход сигнала датчика кислорода №2
56 	Не используется
57 	Не используется
58 	Не используется
59 	Датчик скорости
60 	Датчик ускорения
61 	Масса выходных каскадов
62 	Не используется
63 	Вход напряжения бортовой сети на выходе главного реле
64 	Не используется
65 	Не используется
66 	Не используется
67 	Не используется
68 	Выход управления реле вентилятора охлаждения двигателя, акт. уровень - низкий
69 	Выход управления реле кондиционера
70 	Выход управления реле бензонасоса
71 	K-Line
72 	Не используется
73 	Не используется
74 	Не используется
75 	Не используется
76 	Не используется
77 	Не используется
78 	Масса (для автомобилей с АКПП)
79 	Вход сигнала датчика фаз (распредвала)
80 	Масса выходных каскадов
81 	Не используется
