Описание контактов ЭБУ Микас 10.3

 
№ 	Соединение
1 	 ---- (не используется)
2 	 21114 - Зажигание 2-3. Управление первичной обмоткой катушки зажигания, акт. уровень низкий.
3 	 Масса цепи зажигания
4 	 ---- (не используется)
5 	 21114 - Зажигание 1-4. Управление первичной обмоткой катушки зажигания, акт. уровень низкий.
6 	 Форсунка 2. Активный уровень низкий 
7 	 Форсунка 3. Активный уровень низкий 
8 	 Выходной сигнал на тахометр
9 	 ---- (не используется)
10 	 Выход на указатель температуры ОЖ
11 	 ---- (не используется)
12 	 АКБ, клемма 30 замка зажигания.
13 	 Питание. Клемма 15 замка зажигания
14 	 Главное реле
15 	 Контакт "А" ДПКВ 
16 	 ДПДЗ
17 	 Масса ДПДЗ, ДАД, ДНД, ДТВ
18 	 Вход - датчик кислорода 1
19 	 Вход - датчик детонации
20 	 Масса датчика детонации
21 	 ---- (не используется)
22 	 ---- (не используется)
23 	 ---- (не используется)
24 	 ---- (не используется)
25 	 ---- (не используется)
26 	 ---- (не используется)
27 	 Форсунка 1. Активный уровень низкий 
28 	 Выход управления нагревателя ДК-2
29 	 Регулятор ХХ - 1
30 	 ---- (не используется)
31 	 Лампа СЕ, акт. уровень низкий
32 	 Питание ДПДЗ и ДАД
33 	 Питание ДН
34 	 Вход ДПКВ, контакт "В"
35 	 Масса ДТОЖ и ДК-2
36 	 Масса ДК-1
37 	 ---- (не используется)
38 	 ---- (не используется)
39 	 Вход сигнала с ДТОЖ
40 	 Вход сигнала с датчика температуры впускного воздуха
41 	 ---- (не используется)
42 	 Вход сигнала ДНД 
43 	 ---- (не используется)
44 	 Питание от главного реле
45 	 Выход питания датчика фаз
46 	 Выход управления клапаном продувки адсорбера
47 	 Форсунка 4. Активный уровень низкий 
48 	 Выход управления нагревателем датчика кислорода
49 	 ---- (не используется)
50 	 Регулятор ХХ - 2
51 	 Масса контроллера
52 	 ---- (не используется)
53 	 Масса контроллера и ДФ
54 	 ---- (не используется)
55 	 Вход сигнала ДК-2  
56 	 ДАД
57 	 ---- (не используется)
58 	 ---- (не используется)
59 	 Датчик скорости
60 	 ---- (не используется)
61 	 Масса выходных каскадов
62 	 ---- (не используется)
63 	 Вход напряжения бортовой сети на выходе главного реле
64 	 ---- (не используется)
65 	 ---- (не используется)
66 	 ---- (не используется)
67 	 ---- (не используется)
68 	 Выход управления реле вентилятора охлаждения двигателя, акт. уровень - низкий
69 	 ---- (не используется)
70 	 Выход управления реле бензонасоса, акт. уровень - низкий
71 	 K-Line
72 	 ---- (не используется)
73 	 ---- (не используется)
74 	 ---- (не используется)
75 	 ---- (не используется)
76 	 ---- (не используется)
77 	 ---- (не используется)
78 	 ---- (не используется)
79 	 Вход сигнала датчика фаз
80 	 Масса выходных каскадов
81 	 Не используется
